연번,기관,공원종류,공원명,상세주소,공원면적(m),최초시설결정일,x좌표,y좌표
559,기장군,어린이공원,남산공원,기장군 기장읍 서부리 403번지,2558.9,건고830호(1990.11.23),129.2102828,35.25059821
560,기장군,어린이공원,수령공원,기장군 기장읍 서부리 62-6번지,1870.1,경남고100호(1993.04.02),129.209947,35.24727932
561,기장군,어린이공원,공수공원,기장군 기장읍 시랑리 655번지 일원,4556,부고274호(2006.07.26),129.2123878,35.18285703
562,기장군,어린이공원,시랑리공원,기장군 기장읍 시랑리 168번지 일원,1570,부고274호(2007.07.18),129.2227991,35.19522602
563,기장군,어린이공원,연꽃공원,기장군 기장읍 연화리 232 일원,1500,경남고111호(1986.05.28),129.2248525,35.21807673
564,기장군,어린이공원,원죽두호1공원,기장군 기장읍 죽성리 336번지 일원,6039,부고456호(2007.11.28),129.2455729,35.23796111
565,기장군,어린이공원,백두공원,기장군 기장읍 대라리 1004-1번지,1736.6,경남고98호(1988.05.14),129.2109161,35.24082635
566,기장군,어린이공원,무궁화공원,기장군 기장읍 동부리 363 일원,1826,경남고60호(1987.04.07),129.2184915,35.2469779
567,기장군,어린이공원,새마을공원,기장군 기장읍 동부리 141-1 일원,4598,기고100호(2009.05.20),129.2183435,35.24582326
568,기장군,어린이공원,덕발공원,기장군 기장읍 청강리 188번지 일원,3454,기고102호(2009.05.20),129.2224042,35.23526101
569,기장군,어린이공원,현대공원,기장군 기장읍 청강리 22-2 일원,1527,경남고111호(1986.05.28),129.2202,35.24339203
570,기장군,어린이공원,개나리공원,기장군 기장읍 청강리 295번지,2482.1,경남고200호(1988.08.26),129.2175663,35.23755218
571,기장군,어린이공원,진달래공원,기장군 기장읍 청강리 143번지,1992.4,경남고57호(1992.02.29),129.22252,35.23980477
572,기장군,어린이공원,별님공원,기장군 일광읍 삼성리 46-1번지(기장군 일광읍 삼성3길 39),940.4,경남고227호(1980.09.30),129.2349632,35.26473629
573,기장군,어린이공원,아랫바람공원,기장군 일광읍 삼성리 775번지,3148.8,부고213호(2014.05.28),129.2239634,35.26808147
574,기장군,어린이공원,볕바라기공원,기장군 일광읍 삼성리 842-2번지,1723.3,부고213호(2014.05.28),129.2260092,35.26413161
575,기장군,어린이공원,아라공원,기장군 일광읍 삼성리 801번지,8124.2,부고213호(2014.05.28),129.220314,35.2609398
