id,name,type,latitude,longitude
167900101,화랑초등학교,일반,35.109833050038,129.022717806722
168670201,화랑초등학교,일반,35.1099833333,129.022365
168370101,동대시장,일반,35.110655016654,129.019941113593
168670301,동대시장.동대신역,일반,35.110410037154,129.018450139125
168670101,부산터널입구,일반,35.111663960728,129.022844825411
168820301,서여고,일반,35.1126283333,129.0212833333
168470203,서여고,일반,35.1140133333,129.0201366667
168470202,동신초등학교입구,일반,35.1145383333,129.0192616667
168470201,동신초등학교,일반,35.11513,129.01817
168310301,동신초등학교,일반,35.1148433333,129.0191816667
168310302,동신초등학교,일반,35.115287623633,129.018350262196
168330101,문화아파트,일반,35.115445836323,129.016648274889
168340201,부경고교,일반,35.114255,129.0140116667
168340202,구덕운동장,일반,35.1138633333,129.0139233333
168340203,부경고교,일반,35.1132816667,129.0136116667
168620401,삼육부산병원,일반,35.112665,129.011595
168610101,삼육부산병원.서대신역,일반,35.1115966667,129.0119116667
168620302,서대신교차로.서대신역,일반,35.11057689,129.0111201
168760101,광민약국.서대신동,일반,35.1110683333,129.0098166667
168610201,광민약국.서대신동,일반,35.1109983333,129.009755
168620201,서대신역.서부경찰서,일반,35.11043,129.01316
168620101,서대신역.서대신교차로,일반,35.112256686977,129.013231714115
168620102,부경고교,일반,35.11351,129.01382
168320303,구덕운동장(종점),일반,35.11389,129.0157633333
168320302,구덕운동장,일반,35.1133516667,129.01605
168320301,서대신우체국,일반,35.112902528143,129.01649139909
168320201,동대신역,일반,35.111077651761,129.017151791263
168370301,서대시장.동대신역,일반,35.109864798396,129.016797275181
168280101,서대시장,일반,35.10945,129.0161716667
168290101,서대시장.동대신역,일반,35.109791509607,129.01739670669
168370201,서부교회,일반,35.1091866667,129.0183
168350401,서부교회,일반,35.1086766667,129.01924
168370202,서부교회,일반,35.107968269589,129.019621486073
168460304,대진아파트,일반,35.0872766667,129.0244833333
168350201,동아대부민캠퍼스,일반,35.106025,129.0200916667
168950101,동아대학교병원,일반,35.119427715614,129.016650163503
168360101,동아대부민캠퍼스,일반,35.105652,129.020154
168390101,동아대부민캠퍼스,일반,35.104979643035,129.020238685449
211000103,대진아파트,일반,35.0873566667,129.0245783333
168530401,영락교회,일반,35.1033833333,129.02061
168390201,영락교회,일반,35.103172436155,129.020771934178
168380101,부산대학병원.토성역,일반,35.1013433333,129.019925
168390301,부산대학병원.토성역,일반,35.1013383333,129.0197783333
168380401,토성역.아미동입구,일반,35.09994,129.018015
168500101,토성역.아미동입구,일반,35.0998,129.01867
168500301,아동보호종합센터,일반,35.1000166667,129.0158716667
168500302,양성슈퍼,일반,35.1002233333,129.0133566667
168600301,까치새길입구,일반,35.10138,129.01153
168600302,아름다운교회,일반,35.10309,129.0109616667
208270201,아름다운교회,일반,35.1028133333,129.010835
208270202,까치새길입구,일반,35.1013933333,129.0114516667
168600101,양성슈퍼,일반,35.1000983333,129.0135116667
168600102,아동보호종합센터,일반,35.1000283333,129.0160533333
168500201,아미치안센터,일반,35.099435021404,129.016077491103
168490301,아미치안센터,일반,35.100007,129.016805
168490101,아미초등학교,일반,35.0977433333,129.017205
168480201,아미초등학교,일반,35.0978,129.0172216667
168380301,토성동,일반,35.09805,129.0205283333
168400402,부산대학병원.토성역,일반,35.098960163217,129.020131243037
168400401,토성동,일반,35.0979333333,129.02083
208920102,암남공원,일반,35.0631183333,129.019225
167920303,서구청,일반,35.097647885044,129.025152229487
168460201,충무동해안시장,일반,35.09615735956,129.025246431282
168460202,충무동해안시장,일반,35.0963183333,129.025895
211000106,자갈치역.충무동해안시장,일반,35.095774249314,129.024512762525
168460303,충무동교차로,일반,35.0956266667,129.0242666667
168460401,자갈치역.충무동교차로,일반,35.096626837849,129.023802582702
168460402,충무동교차로,일반,35.0966633333,129.0231016667
168400101,충무동교차로,일반,35.0964616667,129.023415
168750302,하동상회,일반,35.0962383333,129.0182383333
168480102,하동상회,일반,35.096015,129.0182516667
168750301,초장중학교,일반,35.094505,129.0190866667
168480101,초장중학교,일반,35.0943783333,129.019
168480103,초장동,일반,35.092856705727,129.018435964282
168640305,초장동,일반,35.09255,129.01875
168750201,대원사,일반,35.091555,129.020005
168640304,대원사,일반,35.0916366667,129.0199616667
168400201,남부민시장입구,일반,35.092653874934,129.022126937903
168720201,남부민시장입구,일반,35.093138197384,129.022078702617
168460301,충무쇼핑.충무동새벽시장,일반,35.092815,129.023895
211000105,충무쇼핑.충무동새벽시장,일반,35.0928016667,129.0240266667
211000104,공동어시장,일반,35.089665,129.024375
168460302,공동어시장,일반,35.0889783333,129.024305
168540303,남부민초등학교,일반,35.0878283333,129.0234066667
168730201,남부민초등학교,일반,35.0882416667,129.0232983333
168640303,동천아파트,일반,35.0900566667,129.021685
168750202,동천아파트,일반,35.090546748861,129.021543988279
168750203,남부민동경로당,일반,35.08767,129.02179
168640302,남부민동경로당,일반,35.087435,129.021815
168730202,천마우편취급국,일반,35.0858483333,129.0225133333
168540302,천마우편취급국,일반,35.0851583333,129.0221
168460305,등대시장,일반,35.0847133333,129.02478
211000102,등대시장,일반,35.084320327966,129.024988361822
211000101,대림아파트,일반,35.082445,129.0251483333
168460306,대림아파트,일반,35.082295,129.0248883333
168450102,부산관광고교,일반,35.0821183333,129.0220016667
168540301,남부민2동주민센터,일반,35.083805,129.020285
168730203,남부민2동주민센터,일반,35.083633,129.02034
168540102,부산관광고교,일반,35.0824033333,129.0218966667
168540101,신익아파트,일반,35.0799883333,129.02039
168450101,신익아파트,일반,35.079405,129.0202783333
211000201,암남동주민센터,일반,35.079862005925,129.021318652834
168450201,암남동주민센터,일반,35.0797666667,129.0217316667
168560101,송도교차로,일반,35.0783683333,129.0183633333
168560301,송도입구,일반,35.079465,129.0180466667
168420301,고신대학교복음병원,일반,35.081470460701,129.016151096211
168430201,알로이시오기념병원,일반,35.0821183333,129.01282
168440201,알로이시오기념병원,일반,35.08187,129.0128783333
168430101,고신대학교복음병원,일반,35.0812533333,129.0159233333
168420101,송도입구,일반,35.079779697938,129.017460640049
209910206,송도교차로,일반,35.078401134427,129.018118754183
168560201,송도초등학교,일반,35.0788383333,129.016815
209910204,송도초등학교,일반,35.0784166667,129.0164333333
209910203,송도해수욕장,일반,35.076375,129.0161333333
168560202,송도해수욕장,일반,35.07673569178,129.015881935213
168560203,송도공영주차장,일반,35.074225,129.015295
209910202,송도공영주차장,일반,35.0739666667,129.0154116667
208920202,혜성아파트,일반,35.0714983333,129.0161383333
209910101,혜성아파트,일반,35.0711783333,129.0162466667
208920101,휴게소,일반,35.0660783333,129.0192966667
168550301,휴게소,일반,35.0658316667,129.0197883333
168550302,암남공원,일반,35.0635366667,129.0192816667
168550201,모지포마을입구,일반,35.0627916667,129.0163333333
168550202,모지포마을,일반,35.0637716667,129.014585
168780102,경성전자고등학교,일반,35.116055742666,129.013549776696
208930102,경성전자고등학교,일반,35.1164083333,129.01282
168510101,동원냉장,일반,35.065605,129.012798
168510301,감천1.2.3부두,일반,35.0683283333,129.0094683333
168520301,동원냉장,일반,35.0656483333,129.0129833333
168760201,민들레맨션,일반,35.1086483333,129.0092033333
168680101,민들레맨션,일반,35.1091266667,129.0093916667
210980301,인성글로벌냉장,일반,35.072705,129.006735
208850203,인성글로벌냉장,일반,35.0725633333,129.0066366667
208850201,한일냉장,일반,35.08054,129.0053883333
210980303,한일냉장,일반,35.0800283333,129.005565
168780302,서대신금호아파트(종점),일반,35.1193233333,129.0111616667
209910201,송도혜성아파트(종점),일반,35.072275,129.015955
168250305,동대신2동,일반,35.1152433333,129.0238266667
168410201,동대신2동,일반,35.1149233333,129.0240933333
208850202,동양레미콘,일반,35.0757866667,129.0060016667
210990101,감천1.2.3부두,일반,35.068205,129.0094483333
210980302,동양레미콘,일반,35.0761866667,129.0060733333
168780101,대신중학교,일반,35.117025,129.01375
168570501,경남고등학교,일반,35.1191366667,129.0179916667
208920201,현대아파트,일반,35.070902211983,129.017532266419
209910102,현대아파트,일반,35.0708566667,129.0168216667
168750204,해강노인관,일반,35.0850416667,129.0202183333
168640301,해강노인관,일반,35.08483,129.0200583333
168520101,모지포마을,일반,35.0637266667,129.014525
168520201,성진수산,일반,35.062186515951,129.012010098387
168850101,성진수산,일반,35.061937893617,129.012130490436
168850201,부산국제수산물도매시장,일반,35.059938,129.011436
168350101,동아대부민캠퍼스,일반,35.107487325934,129.02092108747
167900401,동아대부민캠퍼스,일반,35.107637603247,129.0217736736
212650201,수산가공선진화단지입구,일반,35.05705224,129.0122832
215980101,수산가공선진화단지입구,일반,35.057015348233,129.012605587509
215970101,수산가공선진화단지,일반,35.054637982065,129.011955445317
212650101,부산국제수산물도매시장,일반,35.059855,129.011483
168750205,남부민동,일반,35.08326948,129.0179927
168630201,동산교회,일반,35.08439027,129.0157694
